acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.00836,David Archuleta,0.57,213520,0.664,0,4wCD0qOFNRu1Q6O3N6ycm4,1.2e-05,0,0.0719,-4.718,0,Crush,66,2008-11-11,0.0322,162.084,0.487,2008
0.106,Blue,0.76,193240,0.563,0,0t78xGJe3jXsih4qRMId7I,0,4,0.0908,-6.975,0,Best In Me,62,2001-11-26,0.028,99.023,0.359,2001
0.157,Taylor Swift,0.618,235280,0.736,0,5hnJCRSo4pxRsaEwT9YusG,0,2,0.073,-3.937,1,Love Story,55,2008-11-11,0.0308,118.982,0.307,2008
0.459,Ryan Cabrera,0.598,203546,0.4,0,0jdeV5dSB3kUBRqe1xQJbh,0,6,0.151,-10.054,1,True,61,2004-06-08,0.0241,96.938,0.369,2004
0.0727,Jesse McCartney,0.651,214227,0.662,0,2qXKFmKjFzhSGG7kPzoK8n,0,9,0.0267,-4.34,1,Beautiful Soul,0,2004-01-01,0.0469,89.979,0.933,2004
0.106,Westlife,0.497,233027,0.637,0,6mz4fz05OgZE9KumXOkvHG,0,0,0.245,-4.934,1,My Love,0,2002-11-11,0.0261,144.043,0.329,2002
0.252,Backstreet Boys,0.575,230093,0.786,0,35o9a4iAfLl5jRmqMX9c1D,0,9,0.159,-4.353,1,Shape of My Heart,69,2000-11-21,0.0296,96.102,0.518,2000
0.633,James Blunt,0.675,209493,0.479,1,0vg4WnUWvze6pBOJDTq99k,1.76e-05,0,0.088,-9.87,0,You're Beautiful,73,2005-08-08,0.0278,81.998,0.454,2005
0.485,S Club 7,0.643,240267,0.536,0,1229CMlKZ0VULaGt0lTVzc,0,5,0.0831,-5.593,1,Never Had A Dream Come True,0,2001-01-01,0.0278,122.919,0.471,2001
0.283,The Pussycat Dolls,0.548,207507,0.554,0,5qmXgeIDa1lXB07pgAVlNM,0,9,0.0708,-6.408,1,Stickwitu,0,2005-01-01,0.0587,79.918,0.382,2005
0.0134,Bruno Mars,0.635,220734,0.841,0,7BqBn9nzAq8spo5e7cZ0dJ,0,5,0.0622,-5.379,1,Just the Way You Are,79,2010-10-05,0.0422,109.021,0.424,2010
0.65,Secondhand Serenade,0.433,176947,0.307,0,6kJIJGXinrUAEuU2eF1Aux,0,0,0.0635,-8.796,1,Fall for You,0,2012-09-11,0.0327,178.114,0.378,2012
0.0567,Maroon 5,0.524,257133,0.711,0,5s5t0OFg9lIlBFaCI14K1i,0,0,0.134,-5.494,0,She Will Be Loved,0,2002-06-25,0.0405,203.867,0.539,2002
0.538,S Club 7,0.585,201533,0.702,0,2wkoy95ZlmANduYJcq5v6K,0,0,0.216,-5.734,1,Have You Ever,0,2001-01-01,0.0325,139.909,0.51,2001
0.0733,Five For Fighting,0.382,221693,0.416,0,3TwtrR1yNLY1PMPsrGQpOp,0,0,0.0719,-9.303,1,Superman (It's Not Easy),68,2000-09-26,0.0302,102.089,0.125,2000
0.0649,Westlife,0.61,209267,0.718,0,24e3D5JU8ETOVouTcTD96r,0,5,0.106,-5.868,1,I Lay My Love on You,0,2000,0.0234,102.976,0.588,2000
0.0561,Marié Digby,0.459,222227,0.862,0,4y4580Kh2nKIzlLUecy4mk,0,0,0.12,-3.17,1,Say It Again,49,2011-01-01,0.0353,172.032,0.791,2011
0.263,Rihanna,0.71,229413,0.461,0,5CrQCFYPScRFVSm3iwbtBU,0,9,0.0946,-7.6,1,Take A Bow,44,2008-06-02,0.0603,82.002,0.499,2008
0.504,Daniel Bedingfield,0.688,257027,0.538,0,4rIEkt9wgcmoIJtiRcvtNX,0,10,0.111,-7.608,1,If You're Not The One,0,2002,0.0292,119.998,0.27,2002
0.294,Jason Mraz,0.625,189613,0.414,0,0IktbUcnAGrvD03AWnz3Q8,0,0,0.151,-8.7,1,Lucky,72,2008-05-12,0.0369,130.088,0.669,2008
0.262,O-Town,0.641,248867,0.453,0,0WdaRmHBMhUoLPqHLdb9yg,0,0,0.284,-4.98,1,All or Nothing,46,2001-09-25,0.0281,126.872,0.216,2001
0.205,Fergie,0.708,268120,0.641,0,3Q4WeJmzxuDpzMu9QjQqbM,0,7,0.0945,-4.296,1,Big Girls Don't Cry (Personal),68,2006-09-13,0.0335,113.082,0.253,2006
0.0408,Mandy Moore,0.584,223067,0.67,0,1L3HwcCbgJ6lJEX11uibIJ,2.86e-06,0,0.434,-6.564,1,Cry,49,2002-01-15,0.0308,86.691,0.543,2002
0.254,Kelly Clarkson,0.583,219493,0.584,0,3f3omU8n47Mqyab5nCaGyT,0,5,0.123,-5.362,0,Because of You,67,2004-01-17,0.0314,140.039,0.136,2004
0.603,Colbie Caillat,0.697,196280,0.474,0,0rFOs9paloAvEtzwDX1Kmc,0,9,0.11,-6.663,1,Bubbly,67,2007-01-01,0.0351,127.904,0.249,2007
0.0128,Hoobastank,0.467,232707,0.644,0,58AwxWLaRHn2lTqqH9dLkU,0,4,0.136,-5.677,1,The Reason,50,2010-01-01,0.0285,82.915,0.0654,2010
0.123,Guy Sebastian,0.553,240093,0.415,0,7vur3M2Dinfhod8CO0AA06,0,7,0.0965,-6.595,1,Angels Brought Me Here,47,2010-11-19,0.0279,130.111,0.26,2010
0.0414,The Calling,0.555,208507,0.717,0,2n6FX3Jcg4b4Leoz0GOqBF,0,2,0.116,-5.114,1,Wherever You Will Go,64,2001,0.0269,112.03,0.374,2001
0.431,Jordin Sparks,0.566,233467,0.766,0,3Ui2jdyxbZQrZohfM0NOgG,0,2,0.101,-5.036,1,Tattoo,59,2007-11-20,0.0399,168.005,0.547,2007
0.1,Lifehouse,0.461,195493,0.446,0,7L605WhF5EGf34ggj87yK6,0,7,0.169,-7.703,1,You And Me,0,2005-01-01,0.0267,139.868,0.375,2005
0.214,Eamon,0.828,225107,0.653,1,1p5kC161fWMA2QlwV3Vi4W,3.25e-06,0,0.0404,-6.245,0,Fuck It (I Don't Want You Back),63,2004-01-23,0.0653,68.507,0.575,2004
0.0993,Frankee,0.788,201867,0.635,1,35Y18Dv2pAiJ7v0Zou9gxI,9.9e-06,8,0.292,-2.922,1,F.U.R.B. (F U Right Back),49,2004-10-24,0.135,141.019,0.601,2004
0.876,Mandy Moore,0.246,233307,0.301,0,3XpgLBx3TGuDIFV5gUaR0w,1.19e-05,8,0.109,-8.714,0,Only Hope,52,2002-01-15,0.0281,77.572,0.193,2002
0.137,Colbie Caillat,0.695,244107,0.606,0,7wCGjuYvhvNp3r9w9apyrK,0,1,0.116,-6.404,1,Realize,0,2007-01-01,0.0322,123.967,0.164,2007
0.0492,3 Doors Down,0.557,238733,0.533,0,3NLrRZoMF0Lx6zTlYqeIo4,0,10,0.205,-6.817,0,Here Without You,73,2002-11-12,0.0252,143.994,0.233,2002
0.188,Leona Lewis,0.638,262467,0.656,0,7wZUrN8oemZfsEd1CGkbXE,0,5,0.146,-5.886,1,Bleeding Love,73,2007,0.0357,104.036,0.225,2007
0.0825,Jordin Sparks,0.766,205160,0.692,0,4hbRj5tucVkLUVoAdJUyRi,0,1,0.0384,-4.672,1,One Step At a Time,0,2007-11-20,0.0289,102.028,0.691,2007
0.0495,M2M,0.511,222520,0.734,0,1rYYJVlUV2EcgehVUnwJvy,9.93e-06,11,0.299,-6.789,0,The Day You Went Away,58,2000-02-15,0.0297,188.216,0.801,2000
0.142,Miley Cyrus,0.459,248587,0.545,0,6ZfXA2xakAvphXOSOJ3u1W,0,6,0.105,-4.874,1,When I Look At You,70,2009-01-01,0.0282,137.941,0.194,2009
0.173,The Script,0.63,261427,0.698,0,4bCIt1XfHHGWo1UHKM11y9,0,10,0.0789,-4.51,1,Breakeven,0,2008-09-08,0.0244,94.023,0.529,2008
0.000316,The Click Five,0.546,202360,0.832,0,3iT4vWUWxqsn4hFTkEaJCi,0,1,0.177,-2.679,1,Jenny,55,2007-06-26,0.0247,96.019,0.633,2007
0.0158,Mandy Moore,0.515,252600,0.908,0,4du0TY3NTgvQGlelrBHfDL,1.88e-05,8,0.412,-4.632,1,I Wanna Be With You,53,2000-05-09,0.0368,150.031,0.637,2000
0.273,Vanessa Carlton,0.488,237440,0.833,0,6Qm9MaditCcx5V62rVHYqu,0,11,0.192,-3.876,1,A Thousand Miles,57,2011-01-01,0.0387,94.841,0.257,2011
0.329,Gareth Gates,0.573,223400,0.614,0,3dLoqgmXNaloiPpue3AxSA,0,5,0.157,-7.072,1,Too Serious Too Soon,45,2003-06-02,0.0297,77.019,0.43,2003
0.0521,Jordin Sparks,0.466,264373,0.759,0,519tXYJVcrpEMqV2BMbh6E,0,8,0.0587,-4.978,0,No Air (feat. Chris Brown),0,2007-11-20,0.199,160.033,0.328,2007
0.603,Alicia Keys,0.609,228707,0.444,0,3XVBdLihbNbxUwZosxcGuJ,6.86e-06,7,0.104,-9.129,1,If I Ain't Got You,77,2003-12-02,0.106,118.402,0.166,2003
0.559,Jason Mraz,0.703,242947,0.444,0,1EzrEOXmMH3G43AXT1y7pA,0,11,0.0973,-9.331,1,I'm Yours,78,2008-05-12,0.0417,150.96,0.712,2008
0.222,Howie Day,0.636,249120,0.625,0,6dwkFmLUz6hx2CZG2EqLol,5.35e-05,11,0.119,-7.895,1,Collide,63,2003-10-07,0.0277,93.931,0.342,2003
0.246,Ne-Yo,0.452,207187,0.574,0,4SRqDmPxYX0pUb5B5ut2Ri,0,6,0.189,-8.336,1,So Sick,0,2006-01-01,0.31,92.791,0.58,2006
0.0339,Mariah Carey,0.837,201400,0.462,0,3LmvfNUQtglbTrydsdIqFU,0,0,0.09,-7.89,1,We Belong Together,67,2005-04-12,0.0601,139.986,0.762,2005
